title,href,body
Press releases - DHL Group,https://group.dhl.com/en/media-relations/press-releases.html,"6 days ago · Discover the latest news from DHL Group. Simply sort by topic, year and/or month – or enter a term in the search field below. Multi-year agreement reinforces DHL's role as Official Logistics Partner and expands collaboration to Asian Le Mans Series."
DHL News and Press Releases | PR Newswire,https://www.prnewswire.com/news/dhl/,"News from DHL A wide array of domestic and global news stories; news topics include politics/government, business, technology, religion, sports/entertainment, science/nature, and health/lifestyle."
DHL Group: Official Announcements - Stock Market News,https://www.marketscreener.com/quote/stock/DHL-GROUP-185224172/news-press-releases/,16 hours ago · Find the latest press releases and official documents published by DHL Group on MarketScreener.
DHL News Monitoring Service & Press Release Distribution - Shipping ...,https://shipping.einnews.com/news/logistics-dhl,"DHL expands APAC network for data centers DHL Supply Chain expanded its Asia-Pacific data center logistics network, adding over 160,000 square meters of dedicated capacity to capture the region’s growing digital infrastructure market. The investment centers on emerging hubs like Malaysia and …"
DHL targets growing new energy logistics market - Air Cargo News,https://www.aircargonews.net/supply-chains/2026/06/dhl-targets-growing-new-energy-logistics-market/,"DHL is investing in services targeting the new energy logistics market as it looks to more than double its revenues generated by the sector. To target the sector, the company will add a new time-definite service while also continuing to invest in electric vehicle battery facilities. The Bonn-headquartered company said it hopes to grow its"
Media - DHL Group,https://group.dhl.com/en/media-relations.html,3 weeks ago - The DHL Group media relations website offers the company's latest news and extensive press material. ... Don't miss any important dates. Subscribe to news alerts and Corporate Newsletter. We aim to maximize our impact on the logistics industry and beyond.
DHL Supply Chain News Updates | Transport Topics,https://www.ttnews.com/categories/dhl-supply-chain,"The acquisition strengthens UPS’ position in health care logistics, where major carriers are racing to build infrastructure for time- and temperature-sensitive shipments. ... The autonomous trucks will be manufactured at Volvo Trucks North America’s New River Valley production plant in Dublin, Va. The first batch was built there in the final quarter of 2024. ... Most of DHL’s Africa operations, which include warehousing, packaging and supply chain management, are in South Africa, Egypt and Kenya."
DHL targets €3bn new energy logistics revenue by 2030,https://www.stattimes.com/logistics/dhl-targets-3bn-new-energy-logistics-revenue-by-2030-1359469,"1 week ago - DHL Group is expanding its presence in the New Energy sector, aiming to increase revenue from related logistics activities from approximately €600 million in 2025 to €3 billion by 2030 as governments and industries invest in energy resilience, ..."
DHL eCommerce and USPS enter $10 billion - PR Newswire,https://www.prnewswire.com/news-releases/dhl-ecommerce-and-usps-enter-10-billion---plus-longterm-exclusive-agreement-302784695.html,"Our DHL divisions offer an unrivaled portfolio of logistics services, ranging from national and international parcel delivery, e-commerce shipping and fulfillment solutions, international express ..."
"USPS, DHL ECommerce Strike $10B Multi-Year Last-Mile Delivery Deal - WWD",https://wwd.com/sourcing-journal/logistics/dhl-ecommerce-usps-10-billion-partnership-last-mile-parcel-delivery-volume-1238986435/,"Facing a cash crisis, USPS signs a $10 billion deal with DHL eCommerce to expand their partnership, boost last-mile volume and commercial revenue."
Click here to read Transport Topics latest news and updates on DHL,https://www.ttnews.com/categories/dhl,Follow DHL logistics news to understand how DHL is adapting its operations in response to changing market dynamics.
Global Logistics - International Shipping | DHL Home | Global,https://www.dhl.com/global-en/home.html,"DHL is the global leader in the logistics industry. Specializing in international shipping, courier services and transportation."
DHL InMotion - Latest news and stories on DHL's partnerships,https://inmotion.dhl/,"DHL has been Official Logistics Partner of ESL – the world’s largest esports organizer – since 2018. For over two decades, ESL has impacted the lives of millions of fans by transporting them..."
DHL grows French logistics footprint,https://www.stattimes.com/logistics/dhl-grows-french-logistics-footprint-1359388,"DHL Group has announced plans to invest approximately €160 million in France between 2026 and 2027, reaffirming its long-term commitment to one of its largest markets in Europe."
"dhl logistics: Latest News & Videos, Photos about dhl logistics",https://economictimes.indiatimes.com/topic/dhl-logistics,"dhl logistics Latest Breaking News, Pictures, Videos, and Special Reports from The Economic Times. dhl logistics Blogs, Comments and Archive News on Economictimes.com."
DHL Tracking International,https://parcelsapp.com/en/carriers/dhl,"The DHL brand stands for personal commitment, proactive solutions and local strength in the parcel business as well as in international express, logistics and mail operations."
DHL Logistics Trend Radar 7.0 unveils emerging AI... - Air Cargo Week,https://aircargoweek.com/dhl-logistics-trend-radar-7-0-unveils-emerging-ai-trends-and-sustainable-solutions/,"As the logistics landscape continues to evolve rapidly, DHL unveils the 7th edition of the DHL Logistics Trend Radar, a biennial report that highlights the."
"dhl supply chain - News, Views, Reviews... - Logistics Middle East",https://www.logisticsmiddleeast.com/tags/dhl-supply-chain,"DHL Group has enhanced its logistics operations in the UAE by transitioning key functions to DHL Supply Chain, promising seamless services across industries."
DHL Global Forwarding Strengthens Asia-Pacific Leadership with Key...,https://www.jctrans.com/en/news/12299/,"Recently, DHL Global Forwarding announced a series of significant executive appointments to strengthen its global customer leaders."
Dhl Logistics News - MarineLink,https://www.marinelink.com/news/maritime/dhl-logistics,"Dhl-Logistics News: Top European Shippers Warn Freight Costs To Stay High, Gruenhagen Named CFO At MV WERFTEN, DHL Expects Immunity In Price Fixing."
Ship Smarter: Global Shipping & Logistics Advice from DHL |,https://www.dhl.com/discover/en-global,... Logistics advice News & Insights ... Small Business advice E-commerce advice B2B advice Logistics advice News & Insights Shipping with DHL
ESSENTIAL GUIDES | DHL Cambodia,https://www.dhl.com/discover/en-kh/logistics-advice/essential-guides,... Logistics advice News & Insights ... Small Business advice E-commerce advice B2B advice Logistics advice News & Insights Shipping with DHL
Logistics Industry Trends for 2026 | DHL Global,https://www.dhl.com/discover/en-global/logistics-advice/essential-guides/logistics-industry-trends,... Logistics advice News & Insights ... Small Business advice E-commerce advice B2B advice Logistics advice News & Insights Shipping with DHL
ESSENTIAL GUIDES | DHL Bangladesh,https://www.dhl.com/discover/en-bd/logistics-advice/essential-guides,... Logistics advice News & Insights ... Small Business advice E-commerce advice B2B advice Logistics advice News & Insights Shipping with DHL
ESSENTIAL GUIDES | DHL Myanmar,https://www.dhl.com/discover/en-mm/logistics-advice/essential-guides,... Logistics advice News & Insights ... Small Business advice E-commerce advice B2B advice Logistics advice News & Insights Shipping with DHL
"""DHL Health Logistics"" Archives - India Shipping News",https://indiashippingnews.com/tag/dhl-health-logistics/,"SINGAPORE: To meet the growing demand for temperature-sensitive pharmaceutical logistics, DHL Global Forwarding continues to enhance its cold chain ..."
DHL Logistics Archives - Plant & Equipment News,https://www.plantandequipment.news/tag/dhl-logistics/,DHL is a testament to logistics companies in the Middle East in meeting their sustainability goals. ... PlantAndEquipment.news provides recent ...
DHL Logistics of Things - Using Our Content,https://lot.dhl.com/using-our-content/,Provide us with a link back to the original article with the following statement: “This article was originally published on DHL’s Logistics of ...
DHL executives offer up peak season plans and prospects -,https://www.logisticsmgmt.com/article/dhl_executives_offer_up_peak_season_plans_and_prospects,"Jeff Berman is Group News Editor for Logistics Management , Modern Materials Handling , and Supply Chain Management Review and is a contributor to ..."
"Logistics News in the Americas: DHL, USPS, J.B. Hunt, and",https://www.parcelperform.com/insights/logistics-news-in-the-americas-latest-updates-from-dhl-usps-jb-hunt-and-others,"Logistics News in the Americas: Latest Updates from DHL, USPS, and Others ... Logistics News in the Americas: UPS, Echo Global Logistics, DHL ..."
